ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
8175250		3.25072	3.075306	3.208859	3.386557	3.351938	3.380962
8175252		3.054225	2.948564	3.186332	3.14323	2.917989	3.317545
8175254		6.221957	6.492434	6.465057	6.375669	6.408974	6.047597
8175256		8.430753	8.126507	9.235895	9.753679	7.917982	7.993209
8175261		7.296972	6.905239	8.011424	9.020839	6.520876	6.494606
8175263		7.588841	7.379478	7.436393	7.712748	7.227592	7.427583
8175267		5.64546	5.687378	5.738619	5.485465	5.425678	5.58282
8175269		8.466925	8.327736	8.873611	8.706096	7.788535	7.914627
8175288		7.52056	7.558332	8.759716	8.321425	7.163806	7.020807
8175297		2.64221	2.766225	2.851573	2.87353	2.698448	2.851064
8175299		10.02717	10.01403	10.09315	10.3558	9.573185	9.604514
8175302		10.19568	10.1813	10.13562	10.42778	9.822731	9.858674
8175308		6.433822	6.645195	6.170768	6.258832	5.987409	6.106094
8175311		5.085447	5.471153	5.516719	5.216309	5.242002	5.535838
8175315		3.668699	5.16958	4.023334	5.088233	5.11972	4.935944
8175317		5.791909	6.287534	5.70284	4.958116	5.876625	5.776647
8175319		5.616282	5.918606	5.870407	6.520651	5.95938	5.850334
8175330		4.668122	4.903113	4.705718	4.916052	4.571039	4.585166
8175332		3.146725	3.031051	3.131075	3.04422	2.99469	3.019073
8175336		4.655947	4.419905	6.70536	6.371128	4.667406	5.127989
8175344		4.693316	4.504411	6.613575	6.340593	4.63926	5.074026
8175353		4.40202	4.037949	6.7575	6.449022	4.535824	4.959088
8175360		9.538287	9.567864	10.04657	10.13433	8.947626	8.962919
8175365		3.840966	4.138827	4.226134	4.176982	3.797617	3.707274
8175367		3.742419	3.731311	3.580515	3.900165	3.625463	3.585034
8175369		9.439105	9.639189	9.55203	9.658185	8.90566	9.313147
8175391		6.222284	6.033644	6.018887	6.375787	5.639326	5.54412
8175393		3.779435	3.935171	4.358428	4.070103	4.035795	3.935083
8175418		3.454156	3.357468	3.352726	3.285799	3.378076	3.327103
8175420		10.26533	10.4532	10.26182	10.22172	10.20666	10.2052
8175432		6.559638	6.217982	7.022015	6.866209	5.981538	5.781854
8175434		5.862181	6.417591	5.879416	6.020496	6.090533	5.757946
8175436		5.938039	6.18785	6.185438	6.116602	5.91076	5.611944
8175438		6.538617	6.648545	6.470274	6.559219	6.176545	6.659116
